salary_id,ids_num,year,author,level,title
,ISTP,2010,黄劭刚,三大检索（仅供认领作者选择）,Study on Doubly-fed Hybrid Poles Permanent Magnet Synchronous Machine
,ISTP,2010,魏庆国,三大检索（仅供认领作者选择）,A research combining spatial filter with autoregressive model for EEG feature extraction
,EI,2010,曾雪强,三大检索（仅供认领作者选择）,Fast Model Selection for Partial Least Squares Based Dimension Reduction
,ISTP,2010,王平,三大检索（仅供认领作者选择）,A Cooperative Location Method Based on Chan and Taylor Algorithms
,EI,2010,周南润,三大检索（仅供认领作者选择）,An improved mechanism for four-way handshake procedure  in ieee802.11i
,EI,2010,周南润,三大检索（仅供认领作者选择）,An encryption scheme for single-channel color images
,EI,2010,杨胡萍,三大检索（仅供认领作者选择）,Reactive Power Optimization of Power System based on Interior Point Method and branch-bound method
,EI,2010,杨胡萍,三大检索（仅供认领作者选择）,Virtual Instrument Design based on Gray Theory Long-term Load Forecasting
,EI,2010,杨胡萍,三大检索（仅供认领作者选择）,Analysis on Fault Voltage and Secondary Arc Current of Single Phase refusing-Shut of the 500kV Extra
,EI,2010,杨胡萍,三大检索（仅供认领作者选择）,Active-Disturbance Rejection Control and Its Application to Solar PV DC-DC Converter
,EI,2010,魏萍,三大检索（仅供认领作者选择）,DSP-controlled three-phase brushiess DC motor-driven power system for electric vehicle
,EI,2010,钟云,三大检索（仅供认领作者选择）,Simulation of vector control and variable frequency regulating system of asynchronous machine based on MATLAB
,EI,2010,徐敏,三大检索（仅供认领作者选择）,The application of negative angle protective pin in reducing lightning shielding failure on overhead transmission line in a mountainous area
,EI,2010,徐敏,三大检索（仅供认领作者选择）,State Assessment System of Power Transformer Equipments Based on Data Mining and Fuzzy Theory
,EI,2010,胡奕涛,三大检索（仅供认领作者选择）,Research on distribution network reconfiguration
,EI,2010,黄玉水,三大检索（仅供认领作者选择）,Analysis and optimization design of M57959L module-based IGBT drive circuit
,EI,2010,戴文进,三大检索（仅供认领作者选择）,Shunt Active Power Filtier and Its Application
,EI,2010,刘爱国,三大检索（仅供认领作者选择）,Distribution network structure planning based on ant algorithm
,EI,2010,曾明如,三大检索（仅供认领作者选择）,The development of intelligent pressure transmitter based on HART protocol
,EI,2010,肖倩华,三大检索（仅供认领作者选择）,Research on Frequency Tracking Capacitive PWM of Induction Heating Power Supply
,EI,2010,曾明如,三大检索（仅供认领作者选择）,State feedback control of networked control system with random delay
,EI,2010,万晓凤,三大检索（仅供认领作者选择）,The data communication of 485 serial on VxWorks and Modbus
,EI,2010,万晓凤,三大检索（仅供认领作者选择）,Vector control speed of AC motor based on TM320LF2407A
,EI,2010,万晓凤,三大检索（仅供认领作者选择）,The smart battery managements system
,EI,2010,万晓凤,三大检索（仅供认领作者选择）,A Self-tuning Controller Based on Particle Swarm Optimization
,EI,2010,刘小平,三大检索（仅供认领作者选择）,Efficient collision detection based on AABB trees and sort algorithm
,EI,2010,洪弘,三大检索（仅供认领作者选择）,Analysis and implementation of the city conflagration automatic alarm network monitoring system
,EI,2010,王玉皞,三大检索（仅供认领作者选择）,A Wireless Cellular Network Optimization Platform based on Inversion Propagation model and GIS
,EI,2010,王玉皞,三大检索（仅供认领作者选择）,A New Indoor Localization Method Based on Inversion Propagation Model
,EI,2010,王玉皞,三大检索（仅供认领作者选择）,Performance Evaluation of Routing Protocol in VANET with Vehicle-node Density
,EI,2010,王玉皞,三大检索（仅供认领作者选择）,A hybrid client/server and browser/server mode-based universal mobile ticketing system
,EI,2010,王玉皞,三大检索（仅供认领作者选择）,Smart Sensing Strategy for Wireless Channel based on Sequence Characterizes Matching Method
,EI,2010,王玉皞,三大检索（仅供认领作者选择）,Statistical Properties Evaluation on Rayleigh VANET Fading Channels
,EI,2010,王玉皞,三大检索（仅供认领作者选择）,An Integrated Propagation Model for VANET in Urban Scenario
,EI,2010,黄涛,三大检索（仅供认领作者选择）,Fault diagnosis of rolling bearing based on the energy operator demoduiation approach
,SCI,2010,王玉皞,三大检索（仅供认领作者选择）,A NOVEL INVERSION METHOD FOR OUTDOOR COVERAGE PREDICTION IN WIRELESS CELLULAR NETWORK
,ISTP,2010,陈瑛,三大检索（仅供认领作者选择）,Current Detection Simulate for STATCOM Dynamic Compensation System
